Model,Accuracy,Precision,Recall,F1_Score
Decision Tree,0.6626506024096386,0.5988200589970502,0.697594501718213,0.6444444444444445
Random Forest,0.6641566265060241,0.6075949367088608,0.6597938144329897,0.6326194398682042
